,Unnamed: 0,time,value
287,287,2018-07-03 09:24:38,93.186322
288,288,2018-07-03 09:24:41,0.466959
289,289,2018-07-03 09:24:46,0.0
290,290,2018-07-03 09:24:50,0.311922
291,291,2018-07-03 09:24:53,0.314361
292,292,2018-07-03 09:24:56,0.0
293,293,2018-07-03 09:24:59,0.405036
294,294,2018-07-03 09:25:02,0.365337
295,295,2018-07-03 09:25:05,0.0
296,296,2018-07-03 09:25:08,0.329331
297,297,2018-07-03 09:25:12,0.0
298,298,2018-07-03 09:25:18,0.304008
299,299,2018-07-03 09:25:21,0.35228000000000004
300,300,2018-07-03 09:25:24,0.0
301,301,2018-07-03 09:25:27,0.278619
302,302,2018-07-03 09:25:30,0.327419
303,303,2018-07-03 09:25:33,0.284224
304,304,2018-07-03 09:25:36,0.347598
305,305,2018-07-03 09:25:39,0.330452
306,306,2018-07-03 09:25:42,80.90162600000002
307,307,2018-07-03 09:25:45,153.405705
308,308,2018-07-03 09:25:48,57.750257
309,309,2018-07-03 09:25:52,0.332562
310,310,2018-07-03 09:25:55,0.389737
311,311,2018-07-03 09:25:58,0.35320300000000004
312,312,2018-07-03 09:26:01,0.422908
313,313,2018-07-03 09:26:04,0.295831
314,314,2018-07-03 09:26:07,0.290489
315,315,2018-07-03 09:26:10,0.0
316,316,2018-07-03 09:26:13,0.300777
317,317,2018-07-03 09:26:16,0.0
318,318,2018-07-03 09:26:19,0.285477
319,319,2018-07-03 09:26:22,0.326957
320,320,2018-07-03 09:26:25,0.0
321,321,2018-07-03 09:26:28,0.308492
322,322,2018-07-03 09:26:31,0.362436
323,323,2018-07-03 09:26:35,0.0
324,324,2018-07-03 09:26:41,0.31587800000000005
325,325,2018-07-03 09:26:44,0.0
326,326,2018-07-03 09:26:50,0.414269
327,327,2018-07-03 09:26:53,0.317725
328,328,2018-07-03 09:26:56,0.3352
329,329,2018-07-03 09:26:59,0.354192
330,330,2018-07-03 09:27:02,0.30842600000000003
331,331,2018-07-03 09:27:05,0.285346
332,332,2018-07-03 09:27:08,0.302557
333,333,2018-07-03 09:27:11,236.14239300000003
334,334,2018-07-03 09:27:15,0.271959
335,335,2018-07-03 09:27:20,0.280268
336,336,2018-07-03 09:27:22,0.317923
337,337,2018-07-03 09:27:24,0.279542
338,338,2018-07-03 09:27:27,0.383011
339,339,2018-07-03 09:27:30,0.0
340,340,2018-07-03 09:27:36,0.455419
341,341,2018-07-03 09:27:39,0.289368
342,342,2018-07-03 09:27:42,0.35320300000000004
343,343,2018-07-03 09:27:45,0.328342
344,344,2018-07-03 09:27:48,0.0
345,345,2018-07-03 09:27:55,0.292534
346,346,2018-07-03 09:27:58,0.376548
347,347,2018-07-03 09:28:01,0.380043
348,348,2018-07-03 09:28:04,0.0
349,349,2018-07-03 09:28:10,82.530872
350,350,2018-07-03 09:28:13,0.323396
351,351,2018-07-03 09:28:18,0.0
352,352,2018-07-03 09:28:19,0.311526
353,353,2018-07-03 09:28:22,7.312416000000002
354,354,2018-07-03 09:28:30,0.358809
355,355,2018-07-03 09:28:33,0.0
356,356,2018-07-03 09:28:35,0.297084
357,357,2018-07-03 09:28:36,0.0
358,358,2018-07-03 09:28:40,0.283631
359,359,2018-07-03 09:28:43,0.337245
360,360,2018-07-03 09:28:46,0.294248
361,361,2018-07-03 09:28:49,0.0
362,362,2018-07-03 09:28:52,0.326891
363,363,2018-07-03 09:28:55,0.332694
364,364,2018-07-03 09:28:58,0.0
365,365,2018-07-03 09:29:01,0.379516
